Number,Title,writer,view,date,old,seminar,work,competition,money
13043,2020년도 체육진흥원 근로장학생 선발안내,체육진흥원,104.0,20201210.0,0.0,0,1,0,0
13042,2020 Hi-TECH 공학콘서트 개최 및 랜선투표 안내,공학교육혁신센터,108.0,20201210.0,0.0,0,0,1,1
13041,2020학년도 영어/스페인어 동영상강의 강사채용 공고,국제교류본부,66.0,20201210.0,0.0,0,1,0,0
13040,2021학년도 대학 편입학 모집요강 공지,입학과,410.0,20201209.0,1.0,0,0,0,0
13039,2020 CBNU 비대면 U-GO 봉사단 모집,학생과,330.0,20201209.0,1.0,0,0,1,0
13038,2020 장애지원센터 송년행사 우리가 함께 만들어가는 행복한 세상 안내,장애지원센터,129.0,20201208.0,2.0,0,0,0,0
13037,12월 모의영어시험 시행 안내(모의토익),국제교류본부,121.0,20201208.0,2.0,0,0,0,0
13036,제약바이오-타 전공 연계 융합교과목 연구개발 공모 선정 결과 공고,충북바이오헬스산업혁신센터,98.0,20201208.0,2.0,0,0,0,0
13035,카페쿠비앤유 3호점 주말 근로학생 모집,생활협동조합,553.0,20201207.0,3.0,0,1,0,0
13034,2020년 충북청주 강소연구개발특구 온라인 판로개척 지원사업 IUM프로젝트 참여기업 모집  ...,산학협력단,85.0,20201207.0,3.0,0,0,0,0
13033,"제10회 첨단기기분석세미나 개최 안내(FT-IR, Raman)",공동실험실습관,52.0,20201207.0,3.0,1,0,0,0
13032,거리두기2단계-학내 생협 카페 테이크아웃 이용안내,충북대학교 생활협동조합,186.0,20201207.0,3.0,0,0,0,0
13031,기말시험 열공야식(온라인) 추첨결과 공지,학생과,1011.0,20201204.0,6.0,0,0,0,1
13030,2020년 제6회 충북대학교 대학평의원회 정기회 결과 공개,대학평의원회,210.0,20201203.0,7.0,0,0,0,0
13029,2020학년도 겨울학기 외국어강좌 접수 안내,국제교류본부,294.0,20201203.0,7.0,0,0,0,0
13028,소프트웨어 안전 국제 컨퍼런스 2020(20.12.03 목) - 온라인 중계,학생과,156.0,20201202.0,8.0,1,0,0,1
